gene	coefficient_index_1based	coefficient	betaNoOptim	betaUseOptim	betaForceOptim	betaSeNoOptim	betaSeUseOptim	betaSeForceOptim
MTND1P23	1	(Intercept)	40.7349801367309	11.3499827052918	11.3499827052918	0.796011141352734	0.795540103855007	0.795540103855007
IGKV1-27	1	(Intercept)	274.184883455275	6.46528848347468	6.46528848347468	0.873295476853626	0.822875632754067	0.822875632754067
LINC02172	1	(Intercept)	-8.79999904519748	0.791362045433024	0.791362045433024	1.89374191347897	1.81747743174891	1.81747743174891
CYP11B1	1	(Intercept)	-14.594144297247	4.16453625236524	4.16453625236524	0.845409462075799	0.841665594563012	0.841665594563012
ENSG00000203565	1	(Intercept)	-36.1666062445954	-0.065728256565656	-0.065728256565656	2.58043063923478	2.54429545220912	2.54429545220912
LINC02470	1	(Intercept)	9.70203302879159	2.88841921219087	2.88841921219087	1.27722570740074	1.2224120438576	1.2224120438576
ENSG00000257634	1	(Intercept)	50.9761682386556	3.91994728982991	3.91994728982991	1.34611313956014	1.21566343615794	1.21566343615794
FAM230C	1	(Intercept)	-8.87614644060608	-0.15014835795454	-0.15014835795454	1.43892264755197	1.37777210225795	1.37777210225795
LINC00370	1	(Intercept)	-13.5134095174237	0.681731117685353	0.681731117685353	0.96425101226666	0.863490194268357	0.863490194268357
ENSG00000243225	1	(Intercept)	46.7724570549458	6.98261079102003	6.98261079102003	1.09371953771671	1.04828240122517	1.04828240122517
IGHV3-48	1	(Intercept)	87.5692636439574	7.27524072504646	7.27524072504646	0.818938207273364	0.810648331688884	0.810648331688884
TBC1D3D	1	(Intercept)	53.3078243369602	6.09701798169755	6.09701798169755	1.68085287555565	1.59278673819399	1.59278673819399
IGLV5-45	1	(Intercept)	12.849908564286	4.57531124066815	4.57531124066815	1.11450330103757	1.09768927182772	1.09768927182772
IGLV1-36	1	(Intercept)	98.5800292282857	4.62007479984848	4.62007479984848	1.16570364316306	1.11725736950399	1.11725736950399
IGLV3-27	1	(Intercept)	26.7959557193429	3.68014519832901	3.68014519832901	1.31111590961228	1.28946575021595	1.28946575021595
IGLV3-9	1	(Intercept)	38.3228621922478	5.53163887356321	5.53163887356321	1.06257802913115	1.05254230736002	1.05254230736002
ENSG00000225840	1	(Intercept)	41.4108503889676	1.68311736911735	1.68311736911735	1.63171921415732	1.55631823799171	1.55631823799171
MPTX1	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4030506244631	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000296152	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4202677777534	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000306013	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4586036259558	4.0011512632007	4.0011512632007	4.0011512632007
ACTR3BP4	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.5278673800423	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000299968	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.3697041666025	4.0011512632007	4.0011512632007	4.0011512632007
NECAP1P1	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.5867072419291	4.0011512632007	4.0011512632007	4.0011512632007
CDCA7P2	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4176985585385	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000287897	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4977624549641	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000286197	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.5499350070767	4.0011512632007	4.0011512632007	4.0011512632007
RPL9P6	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.3484876416039	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000307324	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4257090468152	4.0011512632007	4.0011512632007	4.0011512632007
ENSG00000289561	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.3691067842659	4.0011512632007	4.0011512632007	4.0011512632007
CTBP2P9	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4981750824098	4.0011512632007	4.0011512632007	4.0011512632007
SCARNA23	1	(Intercept)	-2.24349215895517	-2.24349215895517	-15.4689364445667	4.0011512632007	4.0011512632007	4.0011512632007
