gene	GTEX-1117F-2126-SM-GIN9G	GTEX-11GS4-2326-SM-5A5KS	GTEX-11OF3-1326-SM-5N9FJ	GTEX-11TTK-1926-SM-5PNW8	GTEX-12696-0926-SM-5FQTV	GTEX-13112-2126-SM-5GCO4	GTEX-13FHP-2126-SM-GIN8J	GTEX-13O1R-2526-SM-5N9FW	GTEX-13O3O-1726-SM-GJ3RL	GTEX-13OVI-1126-SM-5KLZF	GTEX-13OVL-1826-SM-5KLZR	GTEX-13OW6-1826-SM-5N9F9	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-147F4-2626-SM-5Q5CS	GTEX-1497J-0826-SM-5NQAJ	GTEX-14C5O-2026-SM-5YYB1	GTEX-14E6D-2526-SM-5YYA9	GTEX-14PJ2-1826-SM-HL9UB	GTEX-15CHQ-2126-SM-6871M	GTEX-15DCD-1926-SM-HAV33	GTEX-15DYW-2026-SM-6AJBD	GTEX-16MT8-1926-SM-7EPGL	GTEX-16XZY-1026-SM-HAV39	GTEX-16XZZ-2226-SM-HAV34	GTEX-16Z82-2826-SM-HAUZZ	GTEX-17F96-1926-SM-7MGWY	GTEX-17F97-1926-SM-7IGM4	GTEX-17HHY-2326-SM-7KFSR	GTEX-1A3MW-2226-SM-73KUX	GTEX-1AX8Z-2326-SM-731CR	GTEX-1BAJH-1826-SM-731DA	GTEX-1C6VQ-2326-SM-7IGN1	GTEX-1CB4J-1926-SM-7MGX8	GTEX-1E2YA-1626-SM-7MGXS	GTEX-1EKGG-2226-SM-7IGOA	GTEX-1GF9V-1926-SM-9JGHE	GTEX-1GF9W-1326-SM-7P8PX	GTEX-1GTWX-1826-SM-9QEHG	GTEX-1H3NZ-2126-SM-9WPQ6	GTEX-1H3VY-1926-SM-9JGHJ	GTEX-1HB9E-1826-SM-D4P33	GTEX-1HBPI-2026-SM-CE6RZ	GTEX-1HCU7-1826-SM-A9G2A	GTEX-1HCVE-2126-SM-HL9UO	GTEX-1I1GP-1926-SM-CNNQU	GTEX-1ICLY-2026-SM-GA913	GTEX-1IKK5-0926-SM-A9G2U	GTEX-1IL2V-1826-SM-ARU7R	GTEX-1JJ6O-2526-SM-AHZ3J	GTEX-1JJE9-1026-SM-HL9TH	GTEX-1JMLX-1526-SM-AHZ3N	GTEX-1JMQJ-1726-SM-E9U4V	GTEX-1JMQK-1926-SM-CJI3B	GTEX-1LG7Y-2726-SM-D5OVW	GTEX-1MUQO-2526-SM-E9TJN	GTEX-1N2DW-1826-SM-EAZ54	GTEX-1N2EF-1426-SM-EXUSH	GTEX-1NV8Z-2226-SM-EXOJ2	GTEX-1O9I2-1926-SM-F2TBQ	GTEX-1PWST-2226-SM-EVR3G	GTEX-1QAET-2126-SM-F2TBS	GTEX-1R9PO-1626-SM-E6CPT	GTEX-1RQEC-2426-SM-F2I1J	GTEX-O5YV-1226-SM-EV795	GTEX-P4QS-1126-SM-3NMD5	GTEX-QDVN-1726-SM-HL9TO	GTEX-REY6-1826-SM-EAZAT	GTEX-RN64-1626-SM-48FD7	GTEX-T6MN-1826-SM-EXOHN	GTEX-WL46-1926-SM-GNIN6	GTEX-XPVG-0526-SM-4B65N	GTEX-Y5V5-1226-SM-EYYVP	GTEX-Y5V6-2026-SM-5IFHO	GTEX-ZDXO-0226-SM-4WKH7	GTEX-ZE9C-1426-SM-4WKGM	GTEX-ZVZP-0926-SM-5GIDB	GTEX-ZXG5-2026-SM-HAUZV	GTEX-ZYFG-1626-SM-5GZYY
MTND1P23	107	465	756	75	188	180	210	375	275	36718	264	561	73	112	58919	230	235	210	105	41	270	336	85	162	250	263	34	578	49	44	124	241	370	314	139	484	448	279	476	190	112	555	546	211	526	4399	80563	64	878	113	338	61	98	448	121	34	117	341	54	102	79	66	133	173	186191	191	202	60	93	143	262	340	218	497	51	146	123	621
IGKV1-27	58	57	0	66	29	0	0	1	1	1445	9	0	0	231	0	3	2	1	15	368	52	56	499	14	7	16	157	2	358	29	19	4	72	915	6	22	19	2	37	16	10	35	0	7	5	4	30	1599	11	103	1	17	353	0	124	567	0	10	0	13	8	39	2	61	41	27	0	13	0	0	28	36	10	10	118	200	14	14
LINC02172	4	0	2	0	39	163	0	0	0	1	98	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	2	3	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	383	0	4	0	0	0	12	22	0	148	14
CYP11B1	17	146	102	4	400	16	17	59	11	44	31	184	26	26	40	2	2	0	43	45	56	17	61	71	32	0	24	38	11	20	29	7	10	0	330	92	18	30	108	293	30	6779	10	0	23	318	0	2	26	0	19	0	19	0	0	55	152	54	0	77	0	40	6	68	77	0	1	199	76	0	46	0	60	70	47	35	40	23
ENSG00000203565	0	0	0	2	61	256	0	0	0	2	153	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1483	0	0	0	0	0	16	25	0	657	2
LINC02470	14	0	0	3	0	2	0	4	0	22	0	357	0	11	0	0	0	7	0	0	2	0	6	6	2	2	6	251	44	1	0	0	38	0	0	2	2	0	0	4	4	2	0	0	4	0	467	1159	0	0	9	0	2	0	2	10	2	2	0	0	1	2	2	0	2	0	2	4	1	172	0	1	0	6	4	10	0	1
ENSG00000257634	0	8	0	0	158	234	12	0	0	1	522	0	1	0	4	0	34	14	0	0	1	0	1	6	0	0	0	0	0	2	1	0	0	0	0	1	0	4	4	2	2	1	23	2	0	72	5	0	3	0	0	0	1	19	11	0	0	1	0	1	0	0	0	45	3	0	5	49	0	8	0	0	0	28	8	7	199	111
FAM230C	0	2	4	0	7	454	0	0	0	0	185	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	2	4	4	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	2	0	1	6	1	2	4	2	1	8	1	0	43	0
LINC00370	0	1	1	1	7	5	0	8	2	7	2	1	3	4	8	4	2	0	1	0	2	4	3	4	2	3	6	4	0	2	2	0	7	0	4	4	8	3	0	4	0	0	2	0	6	9	4	1	0	0	0	2	0	1	4	0	0	6	0	2	1	0	2	0	2	2	4	1007	2	0	11	0	2	3	4	19	37	10
ENSG00000243225	0	33	2	75	8	3	2	16	18	5	0	1	1	0	24	0	0	0	0	0	7	0	2	102	0	0	2	1	7	1	5	2	0	2	0	6	24	0	0	13	1	1	1	0	523	6	12	9	1	0	19	0	0	0	2	0	885	6	3	3	6	2	0	0	6	7	0	12	1	0	6	0	0	1	1	0	2	0
